datetime,portfolio_value,cash,positions,return
2022-10-19 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-20 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-21 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-22 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-23 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-24 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-25 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-26 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-27 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-28 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-29 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-30 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-10-31 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-01 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-02 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-03 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-04 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-05 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-06 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-07 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-08 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-09 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-10 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-11 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-12 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-13 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-14 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-15 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-16 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-17 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-18 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-19 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-20 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-21 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-22 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-23 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-24 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-25 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-26 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-27 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-28 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-29 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-11-30 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-12-01 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-12-02 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-12-03 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-12-04 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
2022-12-05 09:30:00-05:00,91989.64526367188,91989.64526367188,[],0.0
